word;origin;notes
tuz;Turkish;Kokusuz, suda eriyen, yiyecekleri korumada ve tatlandırmada kullanılan billursu madde
etraf;Arabic;Çevre.
bozulmak;Turkish;Bozma işine konu olmak.
meyve;Persian;"Bitkilerde çiçeğin döllenmesinden sonra yumurtalığın gelişmesiyle oluşan tohumları taşıyan, genellikle yenebilen organ; yemiş."
sebze;Persian;Genellikle pişirilerek yenen bitkiler veya bunların taneleri
güvenlik;Turkish;"Toplum yaşamında yasal düzenin aksamadan yürütülmesi, kişilerin korkusuzca yaşayabilmesi durumu; emniyet."
modern;French;Çağdaş
basit;Arabic;Yapılması veya anlaşılması kolay olan, karışık olmayan.
alışveriş;Turkish;Çarşı, pazar, mağaza vb. yerlerden ihtiyaç duyulan şeyleri satın alma işi
besin;Turkish;"Yenilebilir, beslenmeye elverişli her tür madde; gıda."
abla;Turkish;Bir kimsenin kendisinden büyük olan kız kardeşi.
kilo;Turkish;Kilogram
çay;Chinese; Çaygillerden, nemli iklimlerde yetişen bir ağaççık.
kahve;Arabic;Kök boyasıgillerden, sıcak iklimlerde yetişen bir ağaç.
adres;French;Herhangi bir kişi veya mekânın bulunduğu şehir, ilçe, mahalle, cadde, sokak, kapı veya daire numarasının belirtildiği bilgi.
paşa;Turkish;Osmanlı Devleti zamanında yüksek sivil memurlara ve albaydan üstün rütbede bulunan askerlere verilen unvan.
mektup;Arabic;Okul.
Nasihat;Arabic;Öğüt.
Önce;Turkish;"İlk olarak, başlangıçta; evvel"
rüzgar;Persian;"Havanın yer değiştirmesiyle oluşan esinti; yel."
hemşire;Persian;Mesleği ile ilgili belirlenen standartlar çerçevesinde temel eğitimini tamamlamış, sağlığın korunması ve geliştirilmesi, hastalıkların önlenmesi, hastalık durumunda bakım ve rehabilitasyonun sağlanması ile ilgili uygulamalarda yeterli ve yetkili olan sağlık görevlisi.
şeker;Persian;Şeker kamışı, şeker pancarı, patates, havuç, mısır, buğday vb. bitkilerin sap ve köklerinin öz suyundan veya nişastasından çıkarılan, birleşiminde karbon, oksijen ve hidrojen bulunan, beyaz, suda eriyen, mayalanabilen ve çoğu tatlı olan maddelerin genel adı.
dert;Persian;Üzüntü.
merdiven;Persian;Bir yere çıkmaya veya bir yerden inmeye yarayan basamaklar dizisi.
abdest;Persian;"İslam dinine göre namaz kılmak, Kur’an okumak, Kâbe’yi tavaf etmek gibi ibadetleri yerine getirebilmek için niyet ederek el, ağız, burun, yüz, kol ve ayakları yıkamak; baş, kulaklar ve boynun iki yanını mesh etmek yoluyla arınma."
aferin;Persian;Övme, takdir, beğenme vb. duyguları belirtmek için söylenen söz
asayiş;Persian;Bir yerin düzen ve güvenlik içinde bulunması durumu.
ciğer;Persian;Akciğerlerle karaciğerin ortak adı.
çabuk;Persian;Hızlı olan, yavaş karşıtı.
çadır;Persian;Keçe, deri, kıl dokuma, sık dokunmuş kalın bez veya plastik maddelerden yapılarak direklerle tutturulan, taşınabilir barınak.
çamaşır;Persian;İç giysisi.
efsane;Persian;"Eski çağlardan beri söylenegelen, olağanüstü varlıkları, olayları konu edinen hayalî hikâye; söylence."
Perşembe;Persian;Çarşamba ile cuma arasındaki gün.
Çarşamba;Persian;Salı ile perşembe arasındaki gün.
Cuma;Arabic;Perşembe ile cumartesi arasındaki gün.
namaz;Persian;İslam'ın beş şartından biri olan ve Müslümanların günde beş vakit, dinî kurallara göre yapmak zorunda oldukları ibadet
Avukat;French;Hak ve yasa işlerinde isteyenlere yol göstermeyi, mahkemelerde, devlet dairelerinde başkalarının hakkını aramayı, korumayı meslek edinen ve bunun için yasanın gerektirdiği şartları taşıyan kimse
Biberon;French;Genellikle süt çocuklarına süt ve sulu yiyecekleri içirmekte kullanılan emzikli şişe.
süt;Turkish;Kadınların ve memeli dişi hayvanların yavrularını besledikleri, memelerinden gelen, besin değeri yüksek beyaz sıvı.
bebek;Turkish;"Meme emen veya kucakta gezdirilme yaşlarında olan çocuk; bebe."
Ekran;French;"Üzerine bir cismin ışık yoluyla görüntüsü düşürülen, saydam olmayan düz yüzey; görüntülük."
Jandarma;Italian;Yurt içinde genel güvenliği ve kamu düzenini korumakla görevli, yasa ve nizamların koyduğu hükümlerin yürütülmesini ve bunlara dayanan hükûmet emirlerinin yerine getirilmesini sağlayan silahlı askerî kuvvet.
Kolye;French;Ucuna süs eşyaları konularak boyna takılan takı.
Anahtar;Greek;"Kilidi açıp kapamak için kullanılan araç; açacak, açar."
çivi;Turkish;"İki şeyi birbirine tutturmak, bir nesneyi bir yere sabitlemek için çakılan, ucu sivri, başlı, metal veya ağaçtan yapılmış ufak çubuk; mıh"
fener;Greek;Saydam bir maddeden yapılmış veya böyle bir madde ile donatılmış, içinde ışık kaynağı bulunan aydınlatma aracı
laptop;English;Dizüstü bilgisayar.
transfer;French;Bir şeyi, bir kimseyi, bir grubu bir yerden alıp başka bir yere götürme.
geometri;French;Nokta, çizgi, açı, yüzey ve cisimlerin birbirleriyle ilişkilerini, ölçümlerini, özelliklerini inceleyen matematik dalı.
matematik;French;Aritmetik, cebir, geometri gibi sayı ve ölçü temeline dayanarak niceliklerin özelliklerini inceleyen bilimlerin ortak adı.
ceket;French;Erkeklerin ve kadınların giydiği, genellikle önden düğmeli, kalçayı örten, kollu üst giysisi
türkçe;Turkish;Türklerin konuştuğu ve yazdığı dillerin genel adı.
müzik;French;Birtakım duygu ve düşünceleri belli kurallar çerçevesinde uyumlu seslerle anlatma sanatı
tişört;English;Genellikle kısa kollu, pamuklu spor giysi.
domates;Greek;Patlıcangillerden, yaprakları tüylü, çiçekleri salkım durumunda, vitamince zengin bir bitki 
fırın;Greek;İçinde genellikle odun yanan, her yanda aynı derecede ısı oluşturarak ekmek, pasta vb. pişirmeye yarayan, tavanı tonoz biçiminde, önünde tek açıklık bulunan ocak
ateş;Persian;Yanıcı cisimlerin tutuşmasıyla beliren ısı ve ışık
cihan;Persian;Evren.
alfabe;French;Bir dilin seslerini gösteren, belirli bir sıraya göre dizilmiş belli sayıda harfin bütünü.
afiş;French;Bir şeyi duyurmak veya tanıtmak için hazırlanan, kalabalığın görebileceği yere asılmış, genellikle resimli duvar ilanı.
genetik;German;kalıtım bilimi.
papatya;Greek;Birleşikgillerden, 20-50 santimetre yüksekliğinde, baharda çiçek açan, taç yaprakları beyaz, ortası sarı kömeçli, bir yıllık otsu bir bitki
virgül;French;Yazılı cümlelerde birbiri ardınca sıralanan eş görevli kelime veya kelime gruplarının arası, sıralı cümlelerin arası vb. yerlerde kullanılan noktalama işaretinin adı.
sıfat;Arabic;Bir kimsenin görev, ödev, toplumsal veya hukuki bakımdan yeri ve özelliği.
şaka;Turkish;"Güldürmek, eğlendirmek amacıyla karşısındakini kırmadan yapılan hareket veya söylenen söz; latife."
şehit;Arabic;Kutsal bir ülkü veya inanç uğrunda ölen kimse
şeftali;Persian;Gülgillerden, ılıman bölgelerde yetişen, çiçekleri pembe renkli bir ağaç
sınav;Turkish;Öğrencilerin veya bir işe girmek isteyenlerin bilgi derecesini anlamak için yapılan yoklama.
deneme;Turkish;Sınama.
YANLIŞ;Turkish;"Bir kurala, bir ilkeye, bir gerçeğe uymama durumu; hata."
yalnız;Turkish;Yanında başkaları bulunmayan.
tren;French;Demir yolunda yolcu ve yük taşımakta kullanılan, bir veya birkaç lokomotif tarafından çekilen vagonlar dizisi.
kafe;Turkish;İçecek ve hafif yiyeceklerin satıldığı, bazılarında kapı önlerinde oturacak yerlerin bulunduğu ayaküstü yiyecek yerleri.
içmek;Turkish;Bir sıvıyı ağza alıp yutmak
